date,customer_id,product_id,quantity,revenue
2022-01-01,2001,201,3,75.00
2022-01-02,2002,202,2,60.00
2022-01-03,2003,203,1,30.00
2022-01-04,2004,204,4,100.00
2022-01-05,2005,205,2,50.00
2022-01-06,2006,206,3,75.00
2022-01-07,2007,207,1,25.00
2022-01-08,2008,208,2,60.00
2022-01-09,2009,209,1,30.00
2022-01-10,2010,210,4,100.00
2022-01-11,2011,211,2,50.00
2022-01-12,2012,212,3,75.00
2022-01-13,2013,213,1,25.00
2022-01-14,2014,214,2,60.00
2022-01-15,2015,215,1,30.00
2022-01-16,2016,216,4,100.00
2022-01-17,2017,217,3,75.00
2022-01-18,2018,218,2,50.00
2022-01-19,2019,219,1,25.00
2022-01-20,2020,220,3,75.00
